forecast_horizon_days,horizon_label,evaluated_dates,feature_count,average_rank_ic,average_top_5_hit_rate,average_top_5_actual_return,average_selected_count,average_after_cost_return,return_volatility,diagnostic_sharpe,max_active_drawdown,average_turnover,maximum_turnover,final_cumulative_after_cost_active_return
1,forward_relative_return_1d,1613,51,-0.0038443199898868423,0.44786112833230013,-6.747682245998022e-05,5.0,-0.0009350514920848735,0.006640741102059801,-0.14080529231817857,-1.5255737078944904,0.3896000204496736,0.4,-1.508238056732901
5,forward_relative_return_5d,1609,51,0.33803288332144465,0.676072094468614,0.02363383247865664,5.0,0.018247561329701376,0.02172140855628815,0.8400726537791158,-0.3558518391753971,0.3546369509104205,0.4,29.360326179489512
10,forward_relative_return_10d,1604,51,0.546504387317804,0.8011221945137156,0.052681288715080925,5.0,0.04857570627691525,0.03472362653090893,1.3989237625763546,-0.21947216109303724,0.31739517884093416,0.4,77.91543286817206
