model_family,model_name,evaluated_dates,average_rank_ic,average_top5_hit_rate,average_top5_realized_return_per_5d_period,return_volatility,diagnostic_sharpe,max_drawdown_from_top5_return_sum,final_cumulative_top5_return_sum,average_selected_count,comparison_note
tree,gradient_boosting,1609,0.33803288332144465,0.3742697327532629,0.02363383247865664,0.024511464023705472,0.9641950581083178,-0.1926958523421689,38.0268364581586,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
tree,random_forest,1609,0.312902521651703,0.36594157862026117,0.0224024115297985,0.02554904348652235,0.8768395396726393,-0.1653009216391368,36.04548015144579,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
linear,elastic_net,1609,0.23634065998346981,0.3049098819142325,0.016625931047995098,0.023881026809770372,0.696198332694513,-0.19629644982551397,26.75112305622411,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
linear,ridge,1609,0.22734210577819045,0.3024238657551275,0.016208134887492752,0.023478379272581867,0.6903430044858619,-0.17711869759715526,26.078889033975795,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
classification,classification,1609,0.18994766093957333,0.29434431323803606,0.01347320995477055,0.022745533667721505,0.5923452995913024,-0.14125803641428902,21.67839481722579,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
